freq_GHz,hfss_s11_db,hfss_s21_db,ALPS_s11_db,ALPS_s21_db,ALPS_err_s11_db,ALPS_err_s21_db,AWE_s11_db,AWE_s21_db,AWE_err_s11_db,AWE_err_s21_db,GAWE_s11_db,GAWE_s21_db,GAWE_err_s11_db,GAWE_err_s21_db,MGAWE_s11_db,MGAWE_s21_db,MGAWE_err_s11_db,MGAWE_err_s21_db,WCAWE_s11_db,WCAWE_s21_db,WCAWE_err_s11_db,WCAWE_err_s21_db
40.93,-20.58324910036678,-0.0381386166639694,-20.583977200552606,-0.038132195061244364,-0.00072810018582814,0.0000064216027250360574,-20.583977197895177,-0.038132195070382825,-0.0007280975283983082,0.000006421593586575236,-20.58397720061025,-0.03813219505650612,-0.0007281002434709194,0.000006421607463280576,-20.58397720060691,-0.03813217834115918,-0.0007281002401313685,0.000006438322810220498,-20.58397720060227,-0.038132195056885795,-0.0007281002354915245,0.000006421607083605119
40.96,-20.138744554431366,-0.04226896266846376,-20.139585975572516,-0.04226073411584351,-0.0008414211411498229,0.000008228552620247187,-20.13958597465716,-0.04226073412046773,-0.0008414202257931436,0.000008228547996029512,-20.139585975627483,-0.042260734113340505,-0.000841421196117409,0.000008228555123251935,-20.139585975576825,-0.04226071869034638,-0.0008414211454592646,0.000008243978117376816,-20.13958597561928,-0.04226073411344612,-0.0008414211879141931,0.00000822855501763503
40.99,-19.9833813219277,-0.04381624430263435,-19.98434701130296,-0.04380645318548316,-0.0009656893752634232,0.000009791117151193574,-19.984347011008154,-0.04380645318841112,-0.0009656890804556895,0.000009791114223230146,-19.984347011356608,-0.043806453184548844,-0.0009656894289093998,0.000009791118085508699,-19.98434701127912,-0.04380643917668536,-0.0009656893514211617,0.000009805125948988969,-19.98434701134895,-0.043806453184480995,-0.0009656894212533018,0.000009791118153357203
41.02,-20.104642906917366,-0.04260381300698028,-20.105754505540624,-0.04259285609828276,-0.0011115986232574926,0.000010956908697519474,-20.105754505457515,-0.04259285610069283,-0.0011115985401488615,0.000010956906287454271,-20.105754505594607,-0.042592856098449434,-0.001111598677240977,0.000010956908530847242,-20.105754505504713,-0.04259284359007552,-0.0011115985873466627,0.000010969416904760276,-20.105754505587228,-0.04259285609831861,-0.0011115986698619906,0.000010956908661673148
41.05,-20.511335029014568,-0.03877825645861466,-20.512628341123154,-0.03876665847447732,-0.0012933121085865196,0.000011597984137336204,-20.512628341107533,-0.03876665847687859,-0.0012933120929652375,0.000011597981736069518,-20.51262834117885,-0.03876665847550796,-0.001293312164282412,0.000011597983106695353,-20.512628341087446,-0.03876664751074411,-0.0012933120728781944,0.000011608947870549169,-20.512628341171325,-0.038766658475338445,-0.0012933121567577643,0.000011597983276212531
41.08,-21.236379517329596,-0.03279329020425874,-21.237912607584523,-0.03278167218837246,-0.0015330902549273162,0.000011618015886276367,-21.23791260758861,-0.03278167219098405,-0.001533090259012937,0.000011618013274684869,-21.237912607643707,-0.03278167219009545,-0.0015330903141119734,0.00001161801416328656,-21.2379126075586,-0.032781662772466955,-0.0015330902290031645,0.00001162743179178305,-21.23791260763603,-0.03278167218995413,-0.0015330903064345591,0.000011618014304611013
41.11,-22.347777248444846,-0.02536730521756601,-22.34964831060829,-0.02535634666384887,-0.0018710621634454583,0.000010958553717139996,-22.349648310617376,-0.025356346666750313,-0.0018710621725297472,0.000010958550815697021,-22.349648310673402,-0.025356346666181633,-0.0018710622285560419,0.00001095855138437754,-22.34964831060033,-0.02535633875962583,-0.001871062155483827,0.000010966457940179974,-22.349648310665305,-0.02535634666611973,-0.0018710622204594074,0.000010958551446279413
41.14,-23.976819195477198,-0.017416983880899278,-23.97920988340961,-0.017407379645350572,-0.002390687932411595,0.000009604235548705403,-23.97920988342012,-0.01740737964850445,-0.002390687942920522,0.000009604232394828938,-23.97920988348543,-0.017407379648190415,-0.00239068800823361,0.000009604232708862459,-23.979209883429657,-0.017407373179361925,-0.002390687952459558,0.00000961070153735269,-23.979209883475924,-0.01740737964816046,-0.0023906879987265484,0.000009604232738817664
41.17,-26.395772139616934,-0.009970237732683303,-26.399074216737155,-0.00996265122768018,-0.003302077120221014,0.000007586505003123051,-26.399074216749415,-0.00996265123117119,-0.003302077132481429,0.000007586501512113486,-26.399074216833537,-0.009962651231062096,-0.0033020772166025836,0.000007586501621206776,-26.399074216801157,-0.009962646093436542,-0.003302077184223151,0.000007591639246760928,-26.39907421682201,-0.009962651231103611,-0.0033020772050775804,0.000007586501579691374
41.2,-30.291272093999957,-0.004063125551542961,-30.296601329323664,-0.004058140408342932,-0.005329235323706882,0.000004985143200028977,-30.29660132934164,-0.004058140412059257,-0.005329235341683614,0.000004985139483703986,-30.296601329469233,-0.004058140412127756,-0.005329235469275773,0.00000498513941520496,-30.296601329478598,-0.004058136471272539,-0.005329235478640726,0.000004989080270422636,-30.296601329453132,-0.0040581404122589666,-0.005329235453174874,0.000004985139283994813
