freq_GHz,hfss_s11_db,hfss_s21_db,AWE15_s11_db,AWE15_s21_db,AWE15_err_s11_db,AWE15_err_s21_db,GAWE30_s11_db,GAWE30_s21_db,GAWE30_err_s11_db,GAWE30_err_s21_db,WCAWE30_s11_db,WCAWE30_s21_db,WCAWE30_err_s11_db,WCAWE30_err_s21_db
41.44,-18.776706337699324,-0.05794389041456121,-18.775531844624346,-0.057959667752549605,0.0011744930749770788,-0.000015777337988395757,-18.775531844613493,-0.05795966775474649,0.001174493085830619,-0.000015777340185277322,-18.775531844610253,-0.05795966775486687,0.001174493089070694,-0.000015777340305660192
41.47,-18.124043019755447,-0.0674134137447825,-18.12305157310774,-0.0674289253498371,0.00099144664770634,-0.000015511605054599475,-18.12305157309983,-0.06742892535213454,0.0009914466556182333,-0.00001551160735203949,-18.12305157309829,-0.06742892535232403,0.0009914466571565583,-0.000015511607541526806
41.5,-17.81820543156342,-0.07237313738496151,-17.817356700516477,-0.07238740101315876,0.0008487310469433851,-0.000014263628197244693,-17.81735670051131,-0.07238740101556931,0.0008487310521090308,-0.000014263630607802558,-17.81735670051132,-0.07238740101584354,0.0008487310521019253,-0.000014263630882027645
41.53,-17.88128187577673,-0.07132097842108714,-17.880550229471204,-0.07133309394731338,0.0007316463055246913,-0.00001211552622623624,-17.880550229468597,-0.07133309394979076,0.0007316463081323832,-0.000012115528703615652,-17.88055022947021,-0.07133309395014079,0.0007316463065194512,-0.000012115529053641216
41.56,-18.386528570023998,-0.06343064482893697,-18.38589951103965,-0.0634399006188715,0.0006290589843480632,-0.000009255789934534131,-18.38589951104,-0.0634399006214253,0.0006290589839963445,-0.000009255792488324643,-18.38589951104359,-0.06343990062186632,0.0006290589804081037,-0.000009255792929346862
41.59,-19.49887373973776,-0.04901685865147345,-19.498344768374633,-0.049022863101234396,0.0005289713631277948,-0.000006004449760947661,-19.498344768379198,-0.04902286310387221,0.0005289713585625577,-0.00000600445239876124,-19.498344768385675,-0.049022863104418196,0.0005289713520859607,-0.0000060044529447481065
41.62,-21.603071836671866,-0.03012886002459185,-21.602662843093,-0.030131707387156884,0.00040899357886559073,-0.0000028473625650338175,-21.60266284310497,-0.030131707389866383,0.00040899356689649835,-0.000002847365274533109,-21.60266284311602,-0.030131707390554405,0.0004089935558475588,-0.0000028473659625556647
41.65,-25.85683342473976,-0.011289255686437651,-25.856649525666043,-0.011289734354318633,0.00018389907371840764,-4.786678809813594e-7,-25.856649525697403,-0.01128973435713427,0.000183899042358604,-4.786706966179721e-7,-25.85664952572005,-0.01128973435797722,0.0001838990197100543,-4.786715395686814e-7
41.68,-40.8166543782752,-0.0003598627268266467,-40.818554620651526,-0.00035970529785078417,-0.0019002423763225806,1.5742897586251432e-7,-40.818554620851096,-0.0003597053008248933,-0.0019002425758927188,1.574260017533826e-7,-40.818554620943246,-0.000359705301852909,-0.0019002426680430062,1.5742497373771088e-7
41.71,-26.63809041808751,-0.009428587017005354,-26.637101064619593,-0.009430737494265236,0.0009893534679186189,-0.0000021504772598820304,-26.637101064550876,-0.009430737497489588,0.0009893535366352069,-0.000002150480484233372,-26.637101064508112,-0.009430737498722374,0.0009893535793992214,-0.0000021504817170198143
